ds,y
1900-01-01,9.5
1901-01-01,2.7
1902-01-01,5.0
1903-01-01,24.4
1904-01-01,42.0
1905-01-01,63.5
1906-01-01,53.8
1907-01-01,62.0
1908-01-01,48.5
1909-01-01,43.9
1910-01-01,18.6
1911-01-01,5.7
1912-01-01,3.6
1913-01-01,1.4
1914-01-01,9.6
1915-01-01,47.4
1916-01-01,57.1
1917-01-01,103.9
1918-01-01,80.6
1919-01-01,63.6
1920-01-01,37.6
1921-01-01,26.1
1922-01-01,14.2
1923-01-01,5.8
1924-01-01,16.7
1925-01-01,44.3
1926-01-01,63.9
1927-01-01,69.0
1928-01-01,77.8
1929-01-01,64.9
1930-01-01,35.7
1931-01-01,21.2
1932-01-01,11.1
1933-01-01,5.7
1934-01-01,8.7
1935-01-01,36.1
1936-01-01,79.7
1937-01-01,114.4
1938-01-01,109.6
1939-01-01,88.8
1940-01-01,67.8
1941-01-01,47.5
1942-01-01,30.6
1943-01-01,16.3
1944-01-01,9.6
1945-01-01,33.2
1946-01-01,92.6
1947-01-01,151.6
1948-01-01,136.3
1949-01-01,134.7
1950-01-01,83.9
1951-01-01,69.4
1952-01-01,31.5
1953-01-01,13.9
1954-01-01,4.4
1955-01-01,38.0
1956-01-01,141.7
1957-01-01,190.2
1958-01-01,184.8
1959-01-01,159.0
1960-01-01,112.3
1961-01-01,53.9
1962-01-01,37.6
1963-01-01,27.9
1964-01-01,10.2
1965-01-01,15.1
1966-01-01,47.0
1967-01-01,93.8
1968-01-01,105.9
1969-01-01,105.5
1970-01-01,104.5
1971-01-01,66.6
1972-01-01,68.9
1973-01-01,38.0
1974-01-01,34.5
1975-01-01,15.5
1976-01-01,12.6
1977-01-01,27.5
1978-01-01,92.5
1979-01-01,155.4
1980-01-01,154.6
1981-01-01,140.4
1982-01-01,115.9
1983-01-01,66.6
1984-01-01,45.9
1985-01-01,17.9
1986-01-01,13.4
1987-01-01,29.4
1988-01-01,100.2
1989-01-01,157.6
1990-01-01,142.6
1991-01-01,145.7
1992-01-01,94.3
1993-01-01,54.6
1994-01-01,29.9
1995-01-01,17.5
1996-01-01,8.6
1997-01-01,21.5
1998-01-01,64.3
1999-01-01,93.3
2000-01-01,119.6
2001-01-01,111.0
2002-01-01,104.0
2003-01-01,63.7
2004-01-01,40.4
2005-01-01,29.8
2006-01-01,15.2
2007-01-01,7.5
2008-01-01,2.9
